outfit_id,gender,wear_type,occasion,theme,hero,hero_id,second,second_id,layer,layer_id,footwear,footwear_id,accessory_1,accessory_1_id,accessory_2,accessory_2_id,palette,items_count,total_price_inr,image_files,stylist_rationale
outfit W1,women,western,party,Black cocktail,Women Bodycon Midi Length Dress (Fyre Rose),ajio_703182002,,,,,Classic Women's Heels (Lavie),myntra_42540276,Sparkle Framed Clutch (Lavie),myntra_15660676,,,black / red,3,2313,images/ajio/703182002.jpg;images/myntra/42540276.jpg;images/myntra/15660676.jpg,"Black midi with a gold chain waist detail; gold crystal slingback pumps echo that hardware, and a soft blush box clutch keeps the eye on the dress."
outfit W2,women,western,party,Wine bodycon evening,Bodycon Midi Dress (MULVARI),myntra_41733768,,,,,Open Toe Kitten Heel Sandals (Mochi),myntra_31751105,Women Embellished Clutch with Lock (Rubans),ajio_701677398,,,maroon / red / white,3,1977,images/myntra/41733768.jpg;images/myntra/31751105.jpg;images/ajio/701677398.jpg,Sleek wine square-neck bodycon; nude-tan kitten sandals lengthen the line and a silver sparkle clutch adds just enough shine.
outfit W3,women,western,party,"Magenta slip, night out",Ruched Asymmetrical Midi Dress (MANGO),myntra_34682942,,,,,Women Stiletto Pumps (Shoetopia),myntra_32069236,Sling Bag with Quilted (Exotic),myntra_24130018,,,red / white / black,3,3870,images/myntra/34682942.jpg;images/myntra/32069236.jpg;images/myntra/24130018.jpg,Magenta ruched slip dress with white pointed ankle-booties for an edgy contrast; a black quilted chain sling grounds the brights.
outfit W4,women,ethnic,festive,Dusty-blue Anarkali,Women Embellished Anarkali Kurta Suit Set (SVARAA),ajio_702454568,,,,,Women Malak Brown Solid Juttis (YASSIO),nykaa_24377703,Women Stone-Studded Necklace & Earrings Set (VATSALYA),ajio_700825576,Women PU Clutches (ESBEDA),myntra_39451752,grey / brown / pink / black,4,3894,images/ajio/702454568.jpg;images/nykaa/24377703.jpg;images/ajio/700825576.jpg;images/myntra/39451752.jpg,"Dusty blue-grey anarkali with gold embroidery; brown silver-trimmed juttis and a silver stone necklace stay tonal, black clutch finishes it."
outfit W5,women,ethnic,wedding,Red Banarasi saree,Women Floral Woven Banarasi Silk Saree (Styleelite),ajio_467147176,,,,,Women Fusion Embellished Juttis (DFR),ajio_703351510,Gold-Plated Jewellery Set (PANASH),myntra_7451803,Embroidered Potli Clutch (Anouk),myntra_41578752,red / cream / white,4,5066,images/ajio/467147176.jpg;images/ajio/703351510.jpg;images/myntra/7451803.jpg;images/myntra/41578752.jpg,"Classic red Banarasi silk with gold zari; gold embellished juttis, a gold-kundan red-stone set and a gold pearl potli all pick up the zari — full traditional bridal-guest look."
outfit W6,women,ethnic,festive,Purple sharara set,Women Elegance Sharara Kurta Set (Nyrika),ajio_703450523,,,,,Party Block Pumps with Buckles (CHINRAAG),myntra_38487469,Drop Earrings (Zaveri Pearls),myntra_625852,,,purple / red / white,3,2338,images/ajio/703450523.jpg;images/myntra/38487469.jpg;images/myntra/625852.jpg,"Deep-purple embellished sharara set; wine block pumps with a gold buckle sit in the same rich family, kept light with simple drop earrings."
outfit W7,women,western,office,Navy-floral workwear,Women Navy Blue Print Long Sleeves Formal Shirt (Van Heusen),nykaa_21896203,Women Olive Green High Rise Formal Trousers (Powersutra),nykaa_19331662,Single-Breasted Formal Blazers (Van Heusen Woman),myntra_30441198,Bow Detail Kitten Heel Pumps (Carlton London),myntra_26814366,Shopper Shoulder Bag (MANGO),myntra_36090580,,,navy / green / white / olive,5,8358,images/nykaa/21896203.jpg;images/nykaa/19331662.jpg;images/myntra/30441198.jpg;images/myntra/26814366.jpg;images/myntra/36090580.jpg,"Navy floral satin shirt with olive wide-leg trousers and a navy blazer — muted, grown-up palette; cream bow kitten pumps and an olive tote keep it boardroom-neat."
outfit W8,women,western,casual,Light-denim day,Floral Print Peplum Top (Anouk Mirage),myntra_39522716,Women Straight Fit High-Rise Jeans (U.S. Polo Assn. Women),myntra_41163758,,,Women Lace-Up Fastening Sneakers (Forever Glam by Pantaloons),ajio_703187803,Sling Bag with Quilted (Exotic),myntra_24130018,Brown UV Protection Oval Full Rim Casual Women Sunglass - VS 2301-Gold-BRN (40) (HASHTAG EYEWEAR),nykaa_22909654,white / blue / cream / black / brown,5,4825,images/myntra/39522716.jpg;images/myntra/41163758.jpg;images/ajio/703187803.jpg;images/myntra/24130018.jpg;images/nykaa/22909654.jpg,Cream floral peplum top with light wide-leg jeans and cream sneakers — easy and bright; black sling (a staple) and sunglasses for daytime.
outfit W9,women,western,vacation,Navy-floral maxi,Women Floral Print Maxi Fit & Flare Dress (LEIA),ajio_701467182,,,,,Women Slip-On Flat Sandals (JM LOOKS),ajio_702390240,Shopper Shoulder Bag (MANGO),myntra_36090580,Brown UV Protection Oval Full Rim Casual Women Sunglass - VS 2301-Gold-BRN (40) (HASHTAG EYEWEAR),nykaa_22909654,navy / brown / olive,4,3607,images/ajio/701467182.jpg;images/ajio/702390240.jpg;images/myntra/36090580.jpg;images/nykaa/22909654.jpg,"Flowy navy maxi printed with cream lilies; flat brown sandals and an olive tote (staple) make it walkable, sunglasses for the sun."
outfit W10,women,western,party,Mocha satin co-ord,Women 2-Piece Co-Ord Set (Lulu & Sky),ajio_703543037,,,,,Women Slip-On Flat Sandals (JM LOOKS),ajio_702390240,Sling Bag with Quilted (Exotic),myntra_24130018,,,brown / black,3,4491,images/ajio/703543037.jpg;images/ajio/702390240.jpg;images/myntra/24130018.jpg,A matching mocha satin cami + wrap skirt does the coordinating; tonal brown sandals and the black sling keep it sleek for dinner.
