id,name,brand,price_inr,rating,rating_count,gender,wear_type,category,category_label,slot,occasion,tags,description,description_source,image,image_url,site,product_url,collected_at,base_colour,season,usage
myntra_28569210,Cotton Slim Fit Formal Shirt,Arrow,1099,4.5,69.0,men,western,formal-shirts,Formal Shirts,,office,men;western;formal-shirts;office;Arrow,"White solid opaque Formal shirt ,has a cutaway collar, button placket, 1 pocket, long regular sleeves, curved hem",site,images/myntra/28569210.jpg,,myntra,https://www.myntra.com/shirts/arrow/arrow-cotton-cutaway-collar-curved-slim-fit-formal-shirt/28569210/buy,2026-06-11T18:11:30.499735+00:00,,,
ajio_469618352,Men Regular Fit 2-Piece Suit Set,ARROW,5000,3.3,,men,western,suits,Suits,,wedding,men;western;suits;wedding;ARROW,Grey suit for men from ARROW. It features a regular fit. Made for weddings and festive celebrations.,metadata,images/ajio/469618352.jpg,,ajio,https://www.ajio.com/arrow-men-regular-fit-2-piece-suit-set/p/469618352_grey,2026-06-12T15:08:24.874532+00:00,,,
ajio_443087217,Men Oversized Fit Crew-Neck Sweatshirt,DNMX,300,4.0,,men,western,sweatshirts,Sweatshirts,,casual,men;western;sweatshirts;casual;DNMX,Dark grey sweatshirt for men from DNMX. It features an oversized silhouette. Easy to dress down for everyday casual wear.,metadata,images/ajio/443087217.jpg,,ajio,https://www.ajio.com/dnmx-men-oversized-fit-crew-neck-sweatshirt/p/443087217_darkgrey,2026-06-12T15:11:42.759368+00:00,,,
ajio_464835118,Track Pants with Elasticated Drawstrings,Jack & Jones,602,3.8,,men,western,track-pants,Track Pants,,sports,men;western;track-pants;sports;Jack & Jones,Brown pair of track pants for men from Jack & Jones. It features a drawstring waist. Built for workouts and active days.,metadata,images/ajio/464835118.jpg,,ajio,https://www.ajio.com/jack--jones-track-pants-with-elasticated-drawstrings/p/464835118_brown,2026-06-12T15:14:08.805063+00:00,,,
ajio_703306501,Men Regular Fit Linen Shirt,NEONOMAD,960,,,men,western,linen-shirts,Linen Shirts,,vacation,men;western;linen-shirts;vacation;NEONOMAD,Sea green linen shirt for men from NEONOMAD. It features a regular fit and a linen build. A versatile addition to the wardrobe.,metadata,images/ajio/703306501.jpg,,ajio,https://www.ajio.com/neonomad-men-regular-fit-linen-shirt/p/703306501_seagreen,2026-06-12T15:15:16.980282+00:00,,,
ajio_466576129,Men Texture Solid Indowestern Sherwani Churidar with Dupatta Set,KISAH,7799,3.4,,men,ethnic,sherwanis,Sherwanis,,wedding,men;ethnic;sherwanis;wedding;KISAH,Beige sherwani for men from KISAH. It features a solid colour. Made for weddings and festive celebrations.,metadata,images/ajio/466576129.jpg,,ajio,https://www.ajio.com/kisah-men-texture-solid-indowestern-sherwani-churidar-with-dupatta-set/p/466576129_beige,2026-06-12T15:18:55.926369+00:00,,,
ajio_703182002,Women Bodycon Midi Length Dress,Fyre Rose,765,,,women,western,party-dresses,Party Dresses,,party,women;western;party-dresses;party;Fyre Rose,Black party dress for women from Fyre Rose. It features a body-hugging fit. A standout choice for parties and evenings out.,metadata,images/ajio/703182002.jpg,,ajio,https://www.ajio.com/fyre-rose-women-bodycon-midi-length-dress/p/703182002_black,2026-06-12T15:22:41.821339+00:00,,,
ajio_467147176,Women Floral Woven Banarasi Silk Saree,Styleelite,615,2.9,,women,ethnic,wedding-sarees,Wedding Sarees,,wedding,women;ethnic;wedding-sarees;wedding;Styleelite,Red wedding saree for women from Styleelite. It features a floral print and a silk build. Made for weddings and festive celebrations.,metadata,images/ajio/467147176.jpg,,ajio,https://www.ajio.com/styleelite-women-floral-woven-banarasi-silk-saree/p/467147176_red,2026-06-12T15:42:11.594528+00:00,,,
ajio_703450523,Women Elegance Sharara Kurta Set,Nyrika,1300,,,women,ethnic,sharara-sets,Sharara Sets,,festive,women;ethnic;sharara-sets;festive;Nyrika,Purple sharara set for women from Nyrika. Suited to festive and celebratory occasions.,metadata,images/ajio/703450523.jpg,,ajio,https://www.ajio.com/nyrika-women-elegance-sharara-kurta-set/p/703450523_purple,2026-06-12T16:15:07.817532+00:00,,,
ajio_469763526,Men Softride Carson Fresh Running Shoes,Puma,2535,2.5,,men,footwear,running-shoes,Running Shoes,,sports,men;footwear;running-shoes;sports;Puma,Green pair of running shoes for men from Puma. Built for workouts and active days.,metadata,images/ajio/469763526.jpg,,ajio,https://www.ajio.com/puma-men-softride-carson-fresh-running-shoes/p/469763526_green,2026-06-12T16:23:55.953598+00:00,,,
